Total Value: 17494.2550
Address Counts:
0x1b087F5dd7Cf52488e7093b8b005f47040D8E123: 5
0xC69D2818A6FcE19a9bE19B13b4D12b382683A248: 5
0x370aB7De14416f2439D1e4914558ad3B14679dc9: 41
0x4FC80b07655E934E83A2FFCA70415de81Fe53b51: 5
0xf21CD875472D214fEC9a9195E160Cd642999942c: 90
0x8Bb9f754B8fF0A4b1506c6bB7270e5c075a07148: 5
0x4678b2B7Fa1006475699e11f67219675CACee37E: 9
0x69A56Cb8015AA379fbdcE02939E7d50497200e09: 5
0x774B3Fe63a857968a22BA72CB4D2dd58cB2e1B8e: 5
0xbD87B6CC1bB04D0Ba5C519205FF39416ca698aAE: 5
0x694F3413dEfE6ac2b39aF123c61e2fb5bE396FB3: 5
0xA99A2F36345c0F1e979fB74A9ac8fac1EB15EEd5: 5
0xFe6fc1826f496DC4738c6Bb12195eDaB14c25aEc: 4
0x8A598C6815E20C91a9a944A85B594224F345517B: 3
0xB2ba07C373295639225e69B3b9fb43416777c1fD: 3
0x411B659E8909314517B38c8417d3F8FBEaEE214a: 3
0xEF390B2654295fC712DC184D61e995102bD45f7D: 3
0x125C4468C581Fc2fCC3b7Ce8B0685B8e2224df10: 3
0xF97Abc23aa3ac6a4E839aFE29B8e2995beB1B089: 3
0xA3062912070a81Ede1d7291ee8d7062e73F8b27A: 3
0x153E2719cEFF2dcACf68c82DC0e2B30b6510Ec60: 3
0x660096b34D40E4c35f7B6ED796eAA54bf8FA453f: 3
0x4e91556C6AD1ff8fbCfD8Ff80B5c059c741973f3: 2
0x4f90141B459482EEc504c2d4B071287DF1a69BDA: 2
0xB471a429a8e775fCCD152808aF3C0a928B9383BC: 1
0x4972861e4ec40C0016924324FcFB83aa36D3900b: 1
0xc1a37005d8fF7f2e5696B8d60F115A9980333530: 3
0x3CBaf7A2Ba1Dd1cbfB9948360B4D25DAd2597217: 3
0x71cc38f367fC9898d250364047e92DAbB47E4e8c: 3
0x7c261DB3177791AD2561f423476a256a6cdfc7c0: 4
0xBF741b91918e0f4646B4Bf19bA7646Bd43955b7A: 2
0x5F487dd75860994C13A9CCf707eD440e39F859b3: 2
0x6b9120762A0eC039C06287D4f9492eeF8dCaF7A6: 2
0xCA0216F467d2408DE1B07b47c0097dB44493A35F: 2
0x637C1624C99d4EFC8dcC360d072f1A0A4e78b4A6: 2
0x0430EBbCC86A10Cf687D03C95F6A0B8286a7091c: 2
0x671f846E1acbf61174E277FC4e708616Cfa772f2: 2
0xe1e9cFF2c9B8A459C08dD615EcE0A5144ee368E7: 1
